Parts,Price,Status,Supplier Link,Notes
TL 2GT 6mm 20T Idler,$10.50,,https://www.aliexpress.com/item/1005004957508089.html?spm=a2g0o.productlist.main.1.68daOVWwOVWwMB&algo_pvid=1df8abee-80b9-488c-9726-5c3957184dc2&algo_exp_id=1df8abee-80b9-488c-9726-5c3957184dc2-0&pdp_ext_f={%22order%22%3A%22143%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!7.27!6.93!!!7.27!6.93!%402103890117731417109551340e5717!12000031185339702!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895&curPageLogUid=AjU1eNYeN4h1&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005004957508089|_p_origin_prod%3A#nav-specification,
2GT 6mm 80T + 188mm Belt Set x 2,$11.00,,https://www.aliexpress.com/item/1005008518079953.html?spm=a2g0o.productlist.main.4.353d5fLZ5fLZhr&algo_pvid=2f8ac853-6e00-485d-ab88-833d8551ac61&algo_exp_id=2f8ac853-6e00-485d-ab88-833d8551ac61-47&pdp_ext_f={%22order%22%3A%221893%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!5.47!5.47!!!5.47!5.47!%40211b61ae17798989990575724ee06c!12000045528009919!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895&curPageLogUid=nnHxXq42CUGz&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005008518079953|_p_origin_prod%3A,
PTFE Tube x 1m (red),$2.00,,https://trianglelab.net/products/19x4mm-id19mm-od4mm-ptfe-tube-teflonto-for-175mm-filament?VariantsId=12398,
,,,,
Frame/Fasteners ,,,,
350mm 2020 Extrusion,$9.00,,https://www.aliexpress.com/item/1005001604693930.html?spm=a2g0o.productlist.main.1.184125ecpsJ0G4&algo_pvid=9e87023f-0812-4378-b9cf-77ff7e55a953&algo_exp_id=9e87023f-0812-4378-b9cf-77ff7e55a953-0&pdp_ext_f={%22order%22%3A%223101%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!10.19!10.19!!!10.19!10.19!%40211b815c17732130187698937ed714!12000028149915430!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895&curPageLogUid=M0tw1ai2K7Qq&utparam-url=scene%3Asearch,
Ender 3V2 Neo Frame,Owned,,,
M3 5 x 4mm Heat inserts x 100,$9.20,,https://www.aliexpress.com/item/4000232858343.html?aff_fcid=5d787d6cbc2047a7b81f69d555df0904-1773166960543-00355-_DlZqLZF&tt=CPS_NORMAL&aff_fsk=_DlZqLZF&aff_platform=shareComponent-detail&sk=_DlZqLZF&aff_trace_key=5d787d6cbc2047a7b81f69d555df0904-1773166960543-00355-_DlZqLZF&terminal_id=963d070319ae43e988aba376b6cb1b1f&afSmartRedirect=y,
M3 x 6mm Countersunk x 100,$8.00,,https://www.aliexpress.com/i/32968616563.html,Ebox
M3 x 8mm Countersunk x 50,$4.00,,https://www.aliexpress.com/i/32968616563.html,"Ebox - Only need about 10-20, but these are the cheapest I could find. "
